age,workclass,education,marital-status,occupation,relationship,gender,hours-per-week,capital-gain,capital-loss,income
25,Private,Middle/High School,Single,Blue collar,Child,Male,40,0,0,0
38,Private,HS Graduate,Married,Blue collar,Married/Partnered,Male,50,0,0,0
28,Government,Some College,Married,Service,Married/Partnered,Male,40,0,0,1
18,Unknown,Some College,Single,Unknown,Child,Female,30,0,0,0
34,Private,Middle/High School,Single,Service,Single/Independent,Male,30,0,0,0
29,Unknown,HS Graduate,Single,Unknown,Single/Independent,Male,40,0,0,0
24,Private,Some College,Single,Service,Single/Independent,Female,40,0,0,0
36,Government,Bachelors,Married,White collar,Married/Partnered,Male,40,0,0,0
26,Private,HS Graduate,Single,White collar,Single/Independent,Female,39,0,0,0
58,Unknown,HS Graduate,Married,Unknown,Married/Partnered,Male,35,0,0,0
43,Private,Postgraduate,Married,White collar,Married/Partnered,Male,50,0,0,1
20,Government,Some College,Single,Service,Child,Male,25,0,0,0
43,Private,HS Graduate,Married,White collar,Married/Partnered,Female,30,0,0,0
40,Private,Postgraduate,Married,White collar,Married/Partnered,Male,45,0,0,1
34,Private,Bachelors,Married,White collar,Married/Partnered,Male,47,0,0,1
34,Private,Some College,Single,Service,Child,Female,35,0,0,0
25,Private,Bachelors,Single,White collar,Single/Independent,Male,43,0,0,0
25,Private,Bachelors,Married,White collar,Married/Partnered,Male,40,0,0,0
23,Private,HS Graduate,Previously married,Blue collar,Single/Independent,Male,54,0,0,0
54,Private,HS Graduate,Married,Blue collar,Married/Partnered,Male,35,0,0,0
56,Private,Middle/High School,Previously married,Service,Single/Independent,Female,50,0,0,0
24,Private,Bachelors,Single,White collar,Single/Independent,Male,50,0,0,0
23,Government,Some College,Married,Service,Married/Partnered,Male,40,0,0,0
26,Private,HS Graduate,Previously married,White collar,Single/Independent,Female,40,0,0,0
65,Unknown,HS Graduate,Married,Unknown,Married/Partnered,Male,40,0,0,0
36,Government,Bachelors,Married,White collar,Married/Partnered,Male,40,0,0,1
22,Private,Primary,Single,Service,Single/Independent,Male,50,0,0,0
17,Private,Middle/High School,Single,Blue collar,Single/Independent,Male,40,0,0,0
